sources,target,author,date,statement,processed_statement
Facebook posts,0,Maria Briceño,"May 1, 2024",Video muestra al Dr. Juan Rivera hablando sobre “un nuevo tratamiento para la prostatitis ha captado gran atención recientemente en el Congreso Americano de Urología.”,video muestra al dr juan rivera hablando sobre un nuevo tratamiento para la prostatitis ha captado gran atenci n recientemente en el congreso americano de urolog a
Viral image,0,Ciara O'Rourke,"May 1, 2024",Video shows a “Piers Morgan Uncensored” segment about a remedy that “cures diabetes in two to three weeks.”,video shows a piers morgan uncensored segment about a remedy that cures diabetes in two to three weeks
Viral image,0,Ciara O'Rourke,"May 1, 2024","U.S. Rep. Alexandria Ocasio-Cortez said, “The moon is more important than the sun as the moon gives us light at night when it is dark out. The sun only gives us light during the day when it is already light out.”",you s rep alexandria ocasio cortez said the moon is more important than the sun as the moon gives us light at night when it is dark out the sun only gives us light during the day when it is already light out
Facebook posts,0,Sofia Ahmed,"May 1, 2024","Más de 2 millones de personas se han registrado para votar en lo que va de año sin una identificación con foto en Texas, Pensilvania y Arizona.",m s de millones de personas se han registrado para votar en lo que va de a o sin una identificaci n con foto en texas pensilvania y arizona
American Fuel & Petrochemical Manufacturers,0,Sophia Voight,"May 1, 2024","""EPA regulators just banned most new gas-powered cars.""",epa regulators just banned most new gas powered cars
Viral image,0,Grace Abels,"May 1, 2024","Time magazine ""gave President Trump devil horns"" on the cover.",time magazine gave president trump devil horns on the cover
Facebook posts,0,Ciara O'Rourke,"April 30, 2024",Photos show the scene of an accident that left an unidentified woman in a coma after a “hit and run incident.”,photos show the scene of an accident that left an unidentified woman in a coma after a hit and run incident
Ron DeSantis,0,Samantha Putterman,"April 30, 2024","Florida’s Amendment 4 ""will mandate abortion until the moment of birth.”",florida s amendment will mandate abortion until the moment of birth
X posts,0,Sofia Ahmed,"April 30, 2024",Photo shows “Palestinian activists” blocking “Jewish students from entering Columbia University.”,photo shows palestinian activists blocking jewish students from entering columbia university
Viral image,0,Ciara O'Rourke,"April 29, 2024","“Judge Merchan says Trump will be arrested if he misses any day of the trial, even for Barron’s graduation.”",judge merchan says trump will be arrested if he misses any day of the trial even for barron s graduation
Facebook posts,0,Maria Briceño,"April 29, 2024",Foto muestra “El océano Atlántico y el pacífico frente a frente sin mezclarse”.,foto muestra el oc ano atl ntico y el pac fico frente a frente sin mezclarse
Joe Biden,0,Jeff Cercone,"April 29, 2024",Says he “got arrested” while protesting in favor of desegregation.,says he got arrested while protesting in favor of desegregation
Mike Johnson,0,Louis Jacobson,"April 29, 2024","Said Columbia University has told students, “Well, if you’re Jewish, maybe you do want to stay home.”",said columbia university has told students well if you are jewish maybe you do want to stay home
Facebook posts,0,Sofia Ahmed,"April 26, 2024",Dr. Mehmet Oz said singer Adele used a “coffee trick” to lose weight.,dr mehmet oz said singer adele used a coffee trick to lose weight
Megyn Kelly,0,Madison Czopek,"April 26, 2024",“School allows students to be terrorized by colleagues who identify as ‘furries.’”,school allows students to be terrorized by colleagues who identify as furries
Facebook posts,0,Jeff Cercone,"April 26, 2024","""The administration (has) passed a new bill to help Americans with $15,000+ in credit card debt to write off their balance by 50%.""",the administration has passed a new bill to help americans with in credit card debt to write off their balance by
Sean Hannity,0,Kwasi Gyamfi,"• April 26,",President Joe Biden was “ignored by virtually everyone” at a Pittsburgh-area gas station.,president joe biden was ignored by virtually everyone at a pittsburgh area gas station
Threads posts,0,Kwasi Gyamfi,"• April 26,",CNN reported “Trump soils himself in court.”,cnn reported trump soils himself in court
Robert F. Kennedy Jr.,1,Louis Jacobson,"April 26, 2024","""The much-trumpeted job growth in the last year was ENTIRELY part-time jobs.""",the much trumpeted job growth in the last year was entirely part time jobs
Facebook posts,0,Sara Swann,"April 26, 2024",Photo shows Hillary Clinton holding an anti-Donald Trump T-shirt.,photo shows hillary clinton holding an anti donald trump t shirt
Facebook posts,0,Jeff Cercone,"April 26, 2024",Video shows Tucker Carlson discussing a diabetes cure created with Pfizer and certified by the FDA.,video shows tucker carlson discussing a diabetes cure created with pfizer and certified by the fda
Viral image,0,Ciara O'Rourke,"April 26, 2024","Lauren Boebert posted, “If they charge President Trump for his crimes, they could charge any of us for our crimes. The rule of law means nothing to these people.”",lauren boebert posted if they charge president trump for his crimes they could charge any of us for our crimes the rule of law means nothing to these people
Kelly Daughtry,0,Paul Specht,"April 25, 2024",“Brad Knott was a lawyer for Joe Biden.”,brad knott was a lawyer for joe biden
Facebook posts,0,Maria Briceño,"April 25, 2024","""Cualquier persona en Estados Unidos tiene derecho a la asignación para gastos de la tercera edad...miles de dólares al año y puede utilizarse en sus supermercados favoritos como Walmart, para hacer la compra"".",cualquier persona en estados unidos tiene derecho a la asignaci n para gastos de la tercera edad miles de d lares al a o y puede utilizarse en sus supermercados favoritos como walmart para hacer la compra
Facebook posts,0,Sofia Ahmed,"April 25, 2024",Megyn Kelly promoted the “exotic coffee method” for weight loss on “Megyn Kelly Today.”,megyn kelly promoted the exotic coffee method for weight loss on megyn kelly today
Facebook posts,0,Sofia Ahmed,"April 25, 2024",Dr. Mehmet Oz promoted a weight loss supplement that can be added to coffee.,dr mehmet oz promoted a weight loss supplement that can be added to coffee
Facebook posts,0,Sara Swann,"April 25, 2024",Photo shows former President Barack Obama wearing an anti-Donald Trump T-shirt.,photo shows former president barack obama wearing an anti donald trump t shirt
Social Media,0,Jeff Cercone,"April 25, 2024",“Columbia University announced classes will be remote for the remainder of the school year.”,columbia university announced classes will be remote for the remainder of the school year
TikTok posts,0,Sofia Ahmed,"April 24, 2024",Israel “accidentally voted (for) Palestine” at a United Nations Security Council meeting.,israel accidentally voted for palestine at a united nations security council meeting
Viral image,0,Ciara O'Rourke,"April 24, 2024",Photo shows Stormy Daniels wearing a mushroom-patterned dress to court April 22.,photo shows stormy daniels wearing a mushroom patterned dress to court april
Facebook posts,1,Sara Swann,"April 24, 2024","Dollar Tree, Walgreens, Macy’s, Foot Locker, Gap, Burger King, Regal Cinemas and Kroger have had mass store closures during Joe Biden’s presidency.",dollar tree walgreens macy s foot locker gap burger king regal cinemas and kroger have had mass store closures during joe biden s presidency
Facebook posts,0,Marta Campabadal,"• April 24,","""OVNI en Arlington, Texas, avistado durante el eclipse solar"".",ovni en arlington texas avistado durante el eclipse solar
Facebook posts,0,Ciara O'Rourke,"April 24, 2024",“Reba McEntire faces serious charges.”,reba mcentire faces serious charges
Facebook posts,0,Madison Czopek,"April 24, 2024","Hunter Biden, “BLM rioters” and “COVID criminals” have “0 indictments”",hunter biden blm rioters and covid criminals have indictments
Greta Neubauer,1,Hope Karnopp,"April 24, 2024","“The GOP has failed to invest in our campuses, making WI fall to 42nd in the nation in state support.”",the gop has failed to invest in our campuses making wi fall to nd in the nation in state support
Threads posts,0,Ciara O'Rourke,"April 24, 2024",Former President Donald Trump “didn’t attend the graduations” of his other children.,former president donald trump did not attend the graduations of his other children
Facebook posts,0,Kwasi Gyamfi,"• April 23,",John Mellencamp was “booed off stage for praising Joe Biden.”,john mellencamp was booed off stage for praising joe biden
Instagram posts,0,Sofia Ahmed,"April 23, 2024",Video compilation shows a tornado and storms in Dubai on April 17.,video compilation shows a tornado and storms in dubai on april
Viral image,0,Ciara O'Rourke,"April 23, 2024",A photo shows a mine for “lithium for electric cars.”,a photo shows a mine for lithium for electric cars
Facebook posts,0,Ciara O'Rourke,"April 23, 2024",Kelly Clarkson is promoting weight loss gummies or other diet products.,kelly clarkson is promoting weight loss gummies or other diet products
Facebook posts,0,Madison Czopek,"April 23, 2024","""Artista Juvenil Taylor Swift promueve el Satanismo contra Dios"".",artista juvenil taylor swift promueve el satanismo contra dios
Robert F. Kennedy Jr.,0,Louis Jacobson,"April 23, 2024",“Congress prohibits the NIH from researching the cause of mass shootings.”,congress prohibits the nih from researching the because of mass shootings
